name,position,email,phone,address,city,state,zip,salary,manager,department,hire_date,termination_date,termination_reason
Darrell Adkins,Manager,be@subkec.sl,(544) 539-3713,Ditiw Glen,Hewokapo,VA,58130,6815.49,Myrtie Wade,IT,2/15/24,8/24/52,Layoff
Effie Benson,Sales Associate,luat@onubo.ax,(808) 959-4218,Bugfo Court,Etimucat,RI,75734,7947.52,Birdie Tate,Sales,4/4/53,6/5/40, Fired
Miguel Medina, Accountant,ropce@daaviwi.mv,(387) 476-5948,Faldo Parkway,Fifukru,MT,27001,6054.56,Cordelia McDaniel,IT,5/16/11,7/13/61,Quit
Austin McDonald,Lead,ceipibuw@zew.sb,(842) 457-8920,Finpe Square,Isihosu,AR,15217,2825.81,Barbara Lee,DevOPS,3/17/20,8/1/95,Retired
Nina McDaniel,Lead,bo@macbek.li,(264) 958-2216,Fujbum Circle,Jopbilda,AZ,2816,2430.17,Ann Abbott,IT,5/18/92,12/29/47,Quit
Devin Sims,Developer,wo@roras.lv,(639) 879-6368,Kutos Square,Revogo,NE,34479,3955.04,Birdie Chambers,IT,4/21/20,12/17/31,Quit
Harold Tyler, Accountant,ucokifal@uno.ru,(331) 269-2226,Moco Extension,Podzasi,IN,86347,4485.11,Jimmy Malone,Sales,11/25/42,12/9/43,Quit
Virginia Gardner,Manager,mi@wam.ki,(734) 731-4222,Jojod Loop,Pemruggo,TX,41187,3587.87,Alma Henderson,DevOPS,10/20/39,9/13/81,Retired
Eleanor Myers, Accountant,bapezzo@wahnevuw.nf,(359) 664-6269,Opro Road,Pokikmo,KY,37371,7984.6,Amelia Carter,Sales,12/3/88,1/25/48, 
Ray Collier,Sales Associate,ige@honbaj.vu,(629) 464-6802,Gusno Circle,Mahditav,IN,42654,7291.63,Sallie Paul,IT,4/5/07,1/4/94,Retired
Mathilda Walton,Sales Associate,zuborna@ip.gn,(772) 229-8023,Evato Street,Binmegir,TN,21635,5687.24,Jason Dennis,HR,1/4/92,1/4/03, 
Joe George, Accountant,fe@jorfuv.ma,(787) 346-7428,Azeki View,Hidemju,IN,55703,1483.07,Henrietta Nelson,IT,1/21/92,7/10/86,Layoff
Lottie Weaver, Accountant,eduedca@ikewobkur.do,(827) 540-6529,Ahiha Place,Eprunpa,VA,74722,7918.77,Myrtie Brock,IT,12/1/32,4/26/72,Retired
Mitchell Hall,Lead,ahjom@tiwavguj.ci,(203) 327-2776,Hobmi View,Buuleli,FL,74441,2535.81,Estelle Swanson,Sales,1/28/41,6/5/08, Fired
Millie Harrison,Sales Associate,zajer@jinrac.uz,(982) 819-9160,Wakta Key,Hurzuvtaz,MI,38757,4170.51,Jose Daniels,IT,11/29/67,9/2/80, Fired
Daisy Alvarado,Developer,efuwadkil@if.io,(776) 749-7534,Ogapow Pike,Uvwedi,NE,1593,1662.91,Joel Leonard,Sales,1/30/69,5/10/87, 
Joshua Arnold, Accountant,hu@hasesuw.np,(563) 713-4916,Erdi Park,Nizofipu,NE,11722,2874.59,Sally Bryan,IT,2/9/57,11/15/91,Layoff
Emilie Ford, Accountant,ken@ahu.sj,(916) 348-1431,Lusud Pass,Uwaobha,MO,90169,2800.98,Mattie Flowers,DevOPS,9/1/77,6/20/37, Fired
Frank Dixon, Accountant,abu@im.eu,(986) 784-6048,Lone Lane,Kowarbu,NH,52993,2054.35,Bruce Alvarez,DevOPS,11/13/40,2/22/41, Fired
Austin Jensen,Lead,obbiwi@tinik.pa,(914) 903-6877,Usip Heights,Wokefesu,DE,65074,7804.6,Lettie Smith,DevOPS,5/3/50,11/4/41,Quit
Randall Holloway,Developer,ilaco@leretuefe.uz,(758) 246-2394,Epujo Pike,Epivizwin,NY,29728,6074.36,Calvin Jennings,DevOPS,1/13/02,4/1/44,Quit
Tommy Rose, Accountant,de@si.ky,(358) 643-6688,Lamag Junction,Rofrizuz,TX,48937,7350.48,Ian Andrews,HR,12/20/08,10/17/01,Quit
Maud Gray,Sales Associate,juko@sono.gq,(937) 525-1548,Upzi Place,Afrojjut,SC,88934,7351.45,Connor Vaughn,DevOPS,4/18/29,2/17/44,Retired
Richard Hawkins,Lead,ni@cojopawoc.mu,(480) 536-7296,Hozun Place,Tushinu,PA,41907,5649.71,Christopher Morgan,DevOPS,7/11/10,10/3/64, 
Eugenia McCoy,Lead,ze@sav.fo,(870) 320-6523,Katso Manor,Ruhicmov,CT,31905,3061.17,Lois Morales,HR,7/9/34,10/6/63, Fired
Gordon Jennings,Developer,is@dinmu.om,(640) 214-5408,Kekeni River,Lomguttan,IN,28637,7463.08,Winnie Casey,Sales,3/26/26,6/13/48, Fired
Lee Banks,Lead,cafowob@onevud.co.uk,(827) 775-8651,Tora Key,Levcegvi,IN,29024,6682.71,Georgia Yates,Sales,12/26/44,7/31/31, Fired
Dean Gill,Sales Associate,ap@lilefpup.ee,(628) 452-9648,Kigoz Court,Aneteskel,LA,52558,163.66,Louisa Wolfe,IT,11/2/52,8/8/06,Layoff
Sylvia Vega, Accountant,fube@nikzeihe.aq,(462) 433-8686,Hoihe Square,Pawejgoj,TN,10954,1359.44,Lela Christensen,Sales,8/23/52,12/12/32,Layoff
Estelle Allen,Developer,roon@woppof.al,(446) 382-9938,Wobbep Point,Sobhikni,MN,94042,5127.28,Nina Lopez,DevOPS,5/23/41,7/20/90, 
Barbara Ingram, Accountant,etuvo@pepodom.kz,(728) 998-4458,Kutsaw View,Noibwop,ND,51753,1741.85,Rosa Black,DevOPS,1/23/50,2/10/51,Quit
Logan Terry,Sales Associate,wanujeb@siliti.pa,(529) 364-9904,Rizuk Path,Vaferge,DE,82930,7747.8,Sean Ferguson,HR,10/10/78,10/20/53, Fired
Viola Perez,Sales Associate,bidob@hidfin.de,(516) 997-5875,Vewab Place,Hizorew,MT,90877,3217.5,Eugenia Norman,HR,12/1/19,7/2/34,Retired
Lloyd Summers,Lead,lav@ze.ps,(289) 709-4910,Kohu Terrace,Ahisodmos,PA,31465,5316.6,Ray Simpson,DevOPS,6/20/68,4/1/70,Retired
Dora May,Developer,zo@je.kg,(251) 576-2972,Wuji Court,Ludoliv,ME,92063,3849.51,Theodore Summers,HR,3/9/10,7/16/51, Fired
Alta Warner,Manager,tujkeeh@wehenri.sn,(533) 246-2807,Buuc Way,Upcihhi,NM,52315,4071.97,Willie Salazar,HR,12/25/40,4/8/94, Fired
Georgie Higgins, Accountant,dohpiv@itomokow.bn,(669) 952-6250,Sahec Pike,Wunsatug,TN,66192,6970.48,Ricky Ryan,Sales,9/8/53,1/19/25,Retired
Rosa Turner,Sales Associate,voj@mu.mk,(415) 680-5194,Zikse Manor,Sukodfi,ME,6389,2884.47,Ethan Matthews,IT,11/8/46,2/14/18, Fired
Martha Lewis,Sales Associate,ico@birlod.edu,(310) 688-4790,Fakpuf Court,Linajpi,LA,23204,7141.8,Jared Figueroa,IT,7/25/80,6/19/49,Layoff
Nancy Warner,Manager,mimas@wafwastef.bh,(638) 821-6168,Ulemeg Place,Irbejlun,PA,56638,5585.26,Devin Wright,DevOPS,7/14/04,5/24/67,Quit
Edwin Turner,Manager,cetag@givjovva.eg,(238) 926-4979,Vizzuz Point,Ripwica,OH,86284,8994.18,Ronnie Ortega,IT,11/17/83,8/17/88,Quit
Marie Stephens,Sales Associate,jivgig@pogcah.gp,(475) 995-7028,Elasak Square,Sofacabi,NV,98989,5192.8,Bertha Rose,DevOPS,12/25/72,3/24/78,Quit
Winifred Jennings,Lead,feet@fo.bo,(219) 784-5772,Jiri Pass,Helezgu,SD,76516,4975.09,Violet Kelly,IT,8/6/91,3/16/10, 
Susan Williams,Lead,daojguf@bus.dm,(973) 571-3274,Zizweh Highway,Ciklubu,VA,1455,391.79,Lewis Phillips,HR,10/27/67,10/2/32,Retired
Polly Martin,Manager,boruzpa@zovaam.rs,(914) 869-5368,Zama Lane,Uhsecivi,MI,1109,3277.1,Philip Sims,IT,3/2/01,3/10/61, Fired
Nelle Silva, Accountant,hicis@loice.bi,(510) 982-8551,Zomer Boulevard,Pefnurej,MS,16224,9351.27,Derrick Garcia,HR,1/11/72,6/23/80, 
Hannah Gross,Developer,hewbo@anucovfal.lk,(664) 577-3930,Rarcoj Plaza,Fetwewa,LA,30928,5141.83,Derek Wong,DevOPS,5/19/62,4/7/68,Layoff
Patrick Herrera,Manager,hiuwoac@mebafom.mn,(204) 523-8592,Jinla Place,Nimuuda,FL,9305,7503.01,Ruth Foster,HR,9/6/50,3/20/64,Layoff
Estella Holmes,Manager,be@duihu.it,(666) 622-1160,Dawih Heights,Saniodo,SD,93276,988,Ricardo Goodman,HR,7/29/18,8/29/01,Quit
Rachel Brewer,Manager,sireso@peevovuc.lr,(864) 699-4486,Fehwir Drive,Moabwe,FL,99471,2352.32,Olivia Sparks,DevOPS,10/2/79,6/6/11,Retired
Lawrence Ryan,Lead,banatu@duuhju.uk,(872) 824-5902,Gigmop View,Mebramu,TN,90896,7628.84,Jennie Scott,Sales,11/12/87,5/23/60, 
Richard Burton,Developer,huemeba@guj.ye,(519) 990-1083,Redih Plaza,Kahsedbas,ID,89088,8879.61,Hallie Benson,HR,5/8/39,8/27/21,Retired
Elizabeth Soto,Developer,rafhovoz@fegovig.sl,(864) 483-1013,Sumce Junction,Gevuzok,MS,12128,5306.67,Susan Robbins,Sales,4/24/65,5/4/15,Retired
Cynthia Matthews,Developer,buk@ke.gn,(516) 772-2922,Vafdo Way,Hadasbi,VA,17495,917.67,Cora Norman,IT,7/5/64,8/4/12,Layoff
Frances Ramirez,Lead,sov@nuobi.bb,(945) 463-7165,Horef Loop,Ubicaviz,KS,4564,2500.72,Jeffrey Hunt,HR,4/18/51,8/2/72,Retired
Francisco Mann,Developer,tozrocu@oju.st,(227) 460-6474,Ociaj River,Holalo,NY,4255,8290.31,Cora Medina,IT,1/31/00,7/22/32,Retired
Leroy Castro,Developer,utarew@wesud.ht,(528) 433-7460,Odeow Park,Cetkaodo,SD,46863,8910.76,Wesley Richards,Sales,1/31/31,5/13/25,Quit
Carrie Lyons, Accountant,fe@coludog.bi,(322) 432-1709,Ihofid Highway,Wepikve,MT,48671,7630.62,Bertha Baker,IT,2/24/60,10/25/24, 
Zachary Pena,Lead,avu@be.no,(552) 241-7824,Kukik Street,Emibovgev,MS,97740,4490.73,Sallie Duncan,HR,11/30/66,12/18/15, 
Chester Moore,Sales Associate,ilo@tesvos.io,(637) 942-2897,Jatsa Grove,Vudumcek,HI,94046,5748.5,Cory Young,Sales,10/25/87,11/1/23,Retired
Paul Nichols,Manager,fisfecun@to.pr,(667) 602-1146,Natwa Key,Hotano,FL,34663,8444.67,Hallie Bennett,IT,11/29/41,12/13/67, 
Katherine Vaughn,Manager,puguto@nezrig.ky,(310) 557-4756,Vaznir Ridge,Onuudajol,MT,42950,7307.83,Olivia Willis,IT,12/18/62,12/31/45, Fired
Edward Gibson,Developer,geruj@hugik.nr,(264) 980-9040,Adli Pike,Biaseoba,VT,90479,2223.03,Brandon Harmon,Sales,5/13/17,3/28/64, Fired
Harvey Morales,Manager,ida@gi.ua,(819) 391-8707,Cegoh View,Bibwozi,CA,4020,72.66,Philip Cunningham,DevOPS,6/27/34,12/16/50,Quit
Estella Spencer, Accountant,us@ez.zm,(779) 243-7285,Nugdi Mill,Lepzasiwu,ME,22241,3052.54,Rosa Stanley,IT,5/21/18,9/4/89,Quit
Virgie Munoz,Lead,kezize@zovo.hu,(842) 937-1163,Gohi Center,Nomdofaz,PA,92923,9900.68,Kate Soto,HR,10/10/02,1/7/87,Retired
Lucinda Lamb, Accountant,leajehug@upo.de,(953) 222-4076,Erwe Junction,Sosonrub,NY,44303,2515.27,Nicholas Gonzales,HR,4/12/94,11/6/52,Retired
Walter Blake,Sales Associate,ef@tiwisol.ki,(556) 269-8935,Liner Manor,Noilpa,FL,89915,1840.67,Lenora Sharp,IT,4/22/55,5/6/13,Quit
Margaret Duncan,Manager,haelmuv@zasoj.to,(483) 957-8814,Rivzuk View,Vanelhed,RI,78857,5909.29,Christine Massey,DevOPS,4/7/00,1/27/88, 
Franklin Washington,Developer,rih@calmo.gf,(411) 501-2518,Zeduf Court,Esehaciz,TN,33919,4390.12,Michael Torres,DevOPS,3/1/91,12/26/15, Fired
Lucas Hunt,Lead,reluror@ib.sj,(714) 347-6711,Opakoz Junction,Rajurmun,AK,17335,8575.36,Roy Delgado,DevOPS,2/3/35,3/15/35, 
Dora Greer,Manager,hiuj@pi.gf,(253) 362-1743,Noep Circle,Gacoza,MO,29074,4361.86,Ricardo French,Sales,12/22/74,12/30/12,Retired
Nellie Lucas, Accountant,adu@eranidebo.kn,(556) 545-9667,Tawa Road,Gasgodo,NJ,74699,3419.51,Lucinda Nichols,Sales,2/7/71,7/8/39, 
Douglas Morgan,Manager,nog@agibarka.fm,(651) 240-8296,Efkuf Junction,Zegaap,NY,54511,9221.83,Mary Gibbs,HR,4/20/32,7/6/36,Retired
Ethel Carlson,Developer,wozduw@ecatru.ci,(241) 533-1971,Hejol Terrace,Bafwolrog,MD,40751,2788.1,Grace Greene,Sales,12/27/07,6/12/66,Layoff
Julian McCoy,Sales Associate,matdi@coulub.aq,(943) 551-3899,Lisoj Boulevard,Etubiuzi,OH,80714,8773.41,Cordelia Hines,IT,1/24/94,5/12/66, Fired
Max Malone,Manager,numwoide@ucu.ve,(472) 843-9025,Duutu Ridge,Tulafir,SC,59888,7300.63,Rosalie Taylor,HR,5/13/12,9/6/96,Retired
George Larson,Sales Associate,igabew@rupuh.ne,(474) 313-7526,Wofuwi Key,Kikwamjuv,WY,74026,1990.41,Nancy Cohen,HR,6/25/07,1/18/47,Retired
Andre Kelley,Manager,guudihi@dotsob.ro,(838) 624-2354,Ewated Glen,Ugriwac,OH,2121,7709.37,Leo Elliott,HR,9/11/38,6/11/96,Layoff
Earl Duncan,Manager,use@socrugo.ec,(624) 825-7023,Finuzi Key,Purpiziba,TN,66915,1906.19,Roger Black,Sales,1/18/14,1/9/66, Fired
Cameron Goodman, Accountant,emlil@ruf.gi,(472) 378-8102,Gamle Lane,Comhukcif,NM,58401,8220.61,Thomas Allison,DevOPS,2/13/36,6/9/29,Quit
Steve Williams,Lead,ori@hul.bz,(233) 699-6906,Welu Drive,Ibouruli,HI,56562,8825.97,Paul Yates,Sales,5/4/81,8/27/74, Fired
Loretta Barker,Sales Associate,datjon@jiovofo.ee,(789) 480-1656,Nenza Lane,Pogweva,WV,34024,2718.78,Robert Greer,HR,1/21/26,2/18/67,Retired
Leona Paul, Accountant,wosfiw@japlaveb.va,(263) 974-8660,Sogan Road,Ipociivi,AZ,97104,1415.77,Max Munoz,IT,7/20/55,2/6/68, Fired
Jeremy Massey,Lead,otanho@mep.gb,(982) 424-9347,Tulo River,Infalet,MD,59342,3966.27,Effie Williamson,Sales,10/11/56,7/17/61,Layoff
